"unified_content","postid","code"
"drbjcuts asks: ""What about the teachers who have brittle diabetics in their classes, who, in addition to educating the 20+ students (according to their individual plans, of course), they are also responsible for recognizing early hypoglycemia in one child....administering insulin to another child....dealing with yet another child's different but potentially serious condition? There are a lot of things involving different systems (not the least of which being legal) that would have to change before I could sign on to the idea that the people we pay to educate our kids should be responsible for all of this. RN in a controlled setting has to jump through 5 hoops just to hand someone a plain Tylenol!! ""





Great questions!  


First of all, a teacher should not be administering the insulin, that should be the job of the nurse.  The teacher's job should be to recognize a life or limb threatening situation, then call for medical assistance.





Next, if a teacher has too many children with brittle conditions in her class such that she/he is not able to provide proper supervision to ensure that no children die while in class, by him or herself, then he/she needs an assistant.  A well-run classroom, with order and discipline, should make it quite obvious when a child is dying in his or her classroom.  If a teacher is so overwhelmed that he or she can't see a child dying, there is clearly a problem!





And yes, I agree competely that a nurse should not have to jump through five hoops to give a Tylenol!  Wow, I guess things have changed since I was the school physician for a district back in the '90's.  We had pretty straightforward protocols the nurses followed, and never had a problem.  And the buck stopped with me, of course!","1879474",1
"A related thought.... 
It is not that Epi pens Re frequently used. Why can't a school keep 6-7 pens and if one is used then have it refilled by the parent. The copay for pen is sometimes 40-70 dollars and many parents literally cry when they have to buy pens for home and school year after year. Sheer waste of healthcare dollars. Moreover a question for fellow allergists.... Do you prescribe 4 epipens (2 for home and 2 for school?)","1879629",1
"Some patients I do.","1879631",1
"Sad, but I am not sure I see a need to assign blame to anyone in particular for this.





I am sure the lawyers will disagree though.  No death of a child can occur without blame somewhere","1879660",1
"Why didn't the kid say no to peanut?","1879791",1
"That's what I was wondering but didn't want to risk blaming the victim. My {redacted}#1 will leave the room If he even suspects that {redacted}#2 is eating peanut butter.","1879855",1
"Why didn't the kid say no to peanut?  

Well, probably because she was 7...

My 6 year old has severe nut allergy but it has been 2 years since her last attack, so her memory is fading.  She knows to ask about nuts, but I can completely imagine a scenario she would just forget.  They are still too little to worry about their own mortality. Interestingly, I was paged by her school nurse on January 3rd.  Called back with palpitations.  ""Just wanted to let you know your daughter's epi-pen expired on 12/31/11, you need to bring a new one ""pronto""!""  I guess I'd rather have an overzealous school nurse, but I also hope she would have used the epi-pen even after expiration should something happened!

On the flip side, remember a thread about schools banning peanuts and the outrage it caused among parents of non-allergic kids?  Even here, on Sermo?  Had this school been peanut-free and had all the other parents respected that maybe this little girl would have lived.","1879884",1
"My kid is 5, has never had a reaction but won't even stay in the same room as peanut butter. But, again not trying to blame the victim.","1879894",1
"With the ""no tolerance"" policies in schools today, the administration probably worried that an Epi-pen was a ""potentially dangerous weapon"". The kid probably wouldn't be allowed to possess it on school grounds.


As for the peanut allergy being a new thing, there's been much discussion here of how we've created a society of people who can't tolerate a LOT of things. We've made life so sterile and ""safe"", that when a person has a reaction to a normally innocuous substance, the immune system goes crazy. Think of ""sick building syndrome"". Some people can't even abide new carpeting.","1879951",1
"kid had a known peanut allergy? any responsibility for the parents in failing to tell their kid not to accept & consume a peanut from another kid??","1880184",1
"<sarcasm font>

No the parents have no responsibility.  Can't you see that everybody else, the school, the nurse, theprincipal, the friend who should have known that she was allergic to peanuts, everybody but the parents are responsible.  But not the parents.","1880202",1
"The budget constraint has left a lot of school without a school nurse.  It is too much for us to ask the teacher to be the mother, the teacher , the social worker, and the nurse.  No one would argue that the best way is to have a nurse on campus at all times when school is open.  But this is no longer a reality in many schools. Thus it should be the parents who must teach the child how to treat an reaction (yes they may be too young but then what is the alternative) and talk to the child's teacher individually about the special attention their child may need.  Firing a teacher for having not treated a child's asthma is unfair and not unlike someone firing you as a doctor for not having taught geometry properly to a child. 
I am married to an ex-teacher and can see how much responsibilities they are supposed to bear while being paid relatively little for the job.","1880210",1
"If they can not afford a school nurse, it is because of waste at many levels.","1880264",1
"""...Firing a teacher for having not treated a child's asthma is unfair and not unlike someone firing you as a doctor for not having taught geometry properly to a child...""

Firing a teacher for placing a child's life at risk by breaking state law and ignoring specific directives from parents and physicians about life saving medication availability is completely fair and is necessary to protect the children.

This teacher did not need ""treat a child's asthma"". She simply needed to not make the child's rescue inhaler inaccessible to him - despite clear instructions to the contrary - and to not physically block him from self administering his own medication when needed - in violation of state laws.

There is actually another child in this same class with anaphylactic peanut allergy. Turns out this same teacher was taking the children on hikes to picnic in nearby woods, leaving the child's epi pen behind in a different building across campus. This despite explicit written and verbal instructions from the parents given during a parent teacher conference called by the parents in order to address this particular safety issue. The child knew he needed his epi pen with him at all times and had asked to have it to bring along, and the teacher had refused.

My own child is asthmatic. After our early experience with this teacher we bought jackets and back packs with hidden inner pockets, and she kept her albuterol with her at all times, unknown to the teacher. At least until she was fired. The new teacher keeps the children's medications labeled and in a cabinet behind her desk. When the children are taken on outings, she has a special fanny pack to bring the meds along.","1880488",1
"I must have missed the point, the teacher should not have prevented the child from using the inhaler. The problem may lie with the zero tolerance policy wherein a teacher is placed in a position to decide when and what to allow a child to use a medication given that he/she has had little or no medical training. Yes, it is tragic that any pupil dies or suffers because of this ignorance of the law but one must look at the other side as well.   I recall in one case a student was busted for taking a Tylenol or something like that to school -although this was what the zero tolerance law intended, the ridiculousness of it got splashed all over the paper making the teacher looking like a fool by complying with the law. The major problem is the lack of a school nurse on campus.  Our society has been shifting more and more of the tasks to the teacher in the name of budget cutting and this is unfair to the teacher who have not gone into the profession to be a nurse-substitute.  I would estimate that all of us have broken some fed or state laws in our practice if we get a thorough audit. In fact, there are likely many laws I don't even know of and may have broken. Do you know that we have a law whereby it is prohibited for anyone to dispose of any used syringes or needles in the trash. They were advised to give the trash to their doctors for disposal but neglecting the fact that doctors have to pay dearly for disposing their biologic waste yet the law does not make provision for the extra cost at all.  Anyone who claims that he has compiled with all fed and state laws governing a medical practice please come forward.
Again I emphasize that we need to bring back school nurses to the campus instead of piling yet more responsibility on the teachers who are burning out at a very fast rate.  Just ask any teacher whether he/she is happy with his job and you will get a earful.","1880518",1
"When rules and laws are unjust and irrational, it is the duty of the responsible citizen to make every effort to change the rules.  Failing those efforts, then it is the citizen's duty to engage in civil disobedience. 





How can any teacher, prinicipal, or school system hide behind ""the rules"" while subjecting children entrusted to them by society to preventable potentially fatal risks?","1880554",1
"{redacted}- sounds good in principle.  However if you can make our TORT laws more just I will be more convinced.    If the government starts to mandate that you provide remedial instructions for all of your patients who are behind in school, how would you deal with this?  Another thing going around is that some states may mandate that we provide care to MediAid patients as a condition for re-licensure.   How long have we been struggling to change our TORT laws again?","1880563",1
"The zoo used to bring animals to school, but they stopped that because there was a concern the zoo employees might have peanut oil on their clothes. Don't you have to ingest the peanut substance?","1880631",1
"Now just get the junk science idiots to tie peanuts in with 'global warming'...and it'll be the last peanut you ever see.","1880732",1
"{redacted}, unfortunately what you are describing is simply not anything near reality for many teachers/classrooms.   The school ""nurse"" may very well be the secretary.  I realize that's not an ""okay"" excuse but it sure the hell isn't some individual teacher's fault.  Whether or not there is an assistant (or an extra assistant) in the room obviously involves more than just someone wishing or thinking that there ""should"" be one.  You really can't imagine a well-run and orderly classroom where just the combo of medical needs of different students, individual educational and individual behavioral ""plans"" could be reaching a level of 'ridiculous' as far as what even a GOOD teacher is capable of accomplishing day in, day out?   Your ""teacher shouldn't be giving insulin"" statement is great and seems obvious, but that's like saying someone didn't get appropriate care because they were being boarded in a busy ER and no one should ever be boarded in the ER, you know?  That's all great, but so far the stars have not aligned to make it reality.","1880814",1
"The ""rules"" are mostly forced into place by lawsuit happy parents. Ask any teacher or administrator","1880936",1
"I have a daughter who is allergic to peanuts. She is now 25. Since early childhood, she carried an epi-pen, Primatene spray (there was a JAMA article about 20 years ago stating that inhaled epinephrine sprays like Primatene were effective and quick while waiting for an epi-pen to work), and diphenhydramine liquid. She was instructed to use the epinephrine spray ad-lib if she felt a reaction coming on, inject the epi-pen, then drink the diphenhydramine. Once, her school, even though they knew she was allergic, had a class lunch during which everybody was given a peanut butter sandwich. My wife and I were livid and vocal after that. My daughter checks the ingredients of everything she eats.

My brother has the peanut allergy and has had at least one episode of dyspnea and hives as an adult after eating something with peanuts after being told there were no peanuts in it.

A social worker where I work is allergic to peanuts and had anaphylaxis after kissing her husband soon after he ate some peanuts. A student at a restaurant on the same block where I live died after eating peanut butter used a a thickener in chile. This is a nasty allergy.","1880963",1
"Agree totally that peanut and tree nut allergies are severe problem. I just wonder whether a teacher who has multiple tasks including dealing with multiple disease conditions in the students should be burdened with so many responsibilities other than their core duties and be expected to do the right thing in every aspect.    it is unfair and unreasonable.  It is our school which has failed its duty in safeguarding the students' health. It is the parents' responsibility to train their children in an imperfect world.","1880977",1
"#1 schools are always complaining about no $, some require students to bring toilet paper and kleenex etc for school use, but , somehow, they always have enough $ for sports and sports coaches





#2 surely everyone has noticed that the airlines don't hand out peanuts anymore.  How long until those who cannot tolerate gluten succeed in banning the pretzels too?","1880999",1
"The parents have to pay for the sports . For football it is over $2500  a year for the fees.","1881012",1
"That can't be the case for all the parents who ""can't pay.""","1881051",1
"I would think (maybe ignorantly) that if my child's allergy was that bad, I'd consider desensitization therapy.  I figure they probably manage the medical as well as the education- why would you trust a school?","1881207",1
"{redacted}, desensitization therapy is not available outside of clinical trials (at least that's what we were told by our allergist), but I am curious to hear what's the latest on this?","1881208",1
"Sometimes the peanut doesn't look like a peanut. Possible she wasn't told it was a peanut and didn't recognize it as such. To suggest it may have been intentional is both heartless and foolish.  7 yo are almost never suicidal but school staffs are frequently unresponsive to the needs of the children.","1881253",1
"{redacted}-  unless the athlete is exceptional when the coach may try to raise some money him , everybody in organized sports in school must pay . Just ask any mother.","1881269",1
"No, the athletes' parents do not foot the bill for the sports.","1881271",1
"I know for sure that we have to pay for our grandsons' football and basketball participation in school, same with the band. Perhaps it is different in your part of the country.   We pay for soccers too .","1881272",1
"It's the same everywhere.  There may be 'fees'...but no way do they come close to paying the costs.","1881290",1
"How does not making accommodations for these kids not violate the ADA?  These kids have a documented medical condition that requires specific accommodations for their safety.  Enbastet?","1881370",1
"We will progress to the point of not only banning any and all peanut-containing items...but breathalyzing every kid every day in morning...after lunch...to be certain noone snuck/accidentally ate anything.  You know...if death is just so very imminent for these kids....perhaps some type of respirator is going to be necessary...or a bubble...","1881462",1
"http://www.medpagetoday.com/MeetingCoverage/ACAAI/29542

ACAAI: Oral Tx for Peanut Allergy a Viable Option

By John Gever, Senior Editor, MedPage Today
Published: November 09, 2011
Reviewed by Robert Jasmer, MD; Associate Clinical Professor of Medicine, University of California, San Francisco and
Dorothy Caputo, MA, RN, BC-ADM, CDE, Nurse Planner	
BOSTON -- Oral desensitization therapy for severe peanut allergy is feasible in clinical practice as long as patients are counseled appropriately and precautions are rigorously observed, a researcher said here.

At a clinic in central Connecticut, 103 children and adolescents have been treated with slowly escalating daily doses of peanut protein -- including 56 now considered tolerant enough for maintenance dosing -- with only two withdrawing because of unacceptable side effects, according to Glenda Noumon, DO, of the New England Food Allergy Treatment Center in West Hartford, Conn.","1881476",1
"{redacted}, just call Aliso Viejo or Laguna Niguel  high school in Calif and ask the school how much it would cost for a boy to play football there.  The answer will be $2500 or more but that covers extra insurance , uniforms and travels to play the game.   This is fact and not just opinion. 
While you are at it, ask them how much it will cost for basketball.","1881519",1
"{redacted} brought up a great point.  Why can't schools keep a stock of Epipens and not have to have them prescribed for a specific student?  After all the possiblity of a child presenting with anaphylaxis without any prior history is certainly possible. 





Thik about it this way.  We keep AED's in airports now, if someone goes into cardiac arrest we don't go looking to see if the patient has a history of heart disease or a prescription for an AED from his cardiologist before we use it.","1882650",1
"Mostly because EpiPen needs be prescribed for a specific person and that teachers are not trained medical people who should decide when or how much to give . This also opens the liability issue for the school once it takes up this extra responsibility.  Besides EpiPen expires after a year and someone will have to check repeatedly the expiration date on the EpiPen since a bad outcome after an EpiPen injection (either too late, not enough, or causing cardiac arrhythmia etc) will be a fodder for a lawsuit as well.  Our education system is one of the worst in the industrialized world and our teachers are burning out very fast because they are over-burdened with so many things besides teaching the subject. Some of them have to buy paper and supplies just to keep their classroom going.   In the final analysis, it is our TORT system which makes it difficult for anyone to do anything no matter how well-intentioned.  
EpiPen is just one issue, once this can is opened, then teachers will be required to be trained to treated diabetic coma or hypoglycemia, epilepsy , concussion etc because the parents would demand equality.      America is a broken country now and we will  a few good men to fix it.","1882738",1
"Achoo,





I agree, but on principle you agree with me too I believe.  AED's are to be used by non-trained medical people.  EpiPens in schools should be the same way.","1882779",1
"The Food Allergy and Anaphylaxis Network (www.foodallergy.org) has incredible resources available for patients, families, schools, and work places.  Their authorization forms for treating reactions is easy for anyone who can read - if food ingested but no reaction, do x.  If hives, do w and y, etc.   I see my food allergy kids every summer to go over everything, EpiPens, forms, avoidance, and tell them they need to personally visit the child's teacher at the beginning of the year and make sure they can use EpiPens.  Preferably one should be kept in the classroom, not locked up in a ""nurses office"" in the next building.  The forms also state that anyone can give the EpiPen if trained (which takes 5 seconds to do) and has a place to put the child's picture to speed up identification.  This case breaks my heart.","1882817",1
"Epi pens should be part of the basic first aid in the school prinicpal's office - like bandaids and gauze.","1882853",1
"I agree that EpiPen ideally should be available, a nurse be present on every campus,  and that an AED be required for every sports event.  Unfortunately, this is not an ideal world.","1883335",1
"I think its a fair question about the fact that we teach BCLS to non-medical personell, we have defibrillators that cost thousands of dollars in many places now for cardiac arrest vitcims, why wouuld it be so differnet to have epipen's available in the general public for these types of emergencies?  Not just in schools, but public places similar to the defibrillators now.  What is the difference between teaching someone to use an epi pen as part of a basic medical training course and teaching them to do CPR?","1883341",1
"{redacted},





I also think we should have person follow every student around all day and every 10 minutes they say something like..""Great Job""  or ""You are really smart.""  :)  you know just to boost the self-esteem.","1883345",1
"Before you criticize someone, you should walk a mile in their shoes. That way, when you criticize them, you are a mile away from them and you have their shoes. – Jack Handey

{redacted}: Well if it is an ideal world, no one would suffer illness or poverty.  Given that this is not, we must then take more personal responsibility for ourselves. If we want to depend on the gov't entirely for our health care, then we will have to cough up more taxes and enact an national health care system. Someone must pay for all these extra amenities since we will then have to provide insulin, asthma inhaler, anti-epileptic drug , IV fluid etc in all public places as well in order not to discriminate. It is not enough to talk the talk, but we need to walk the walk.  Is this the choice we really want to make?","1883373",1
"{redacted} & {redacted} I'm not sure we really NEED all that.  From my pointof view, we need a society where people are encouraged to be innovators and good neighbors.  A place where, if I try and help you change your tire and you break my foot by dropping your car on it cause you don't know how to use your jack, you help me out with the foot bills.  A place where a teacher in the school who has a kid with a lethal allergy isn't afraid the family will sue her for using the one she carries in her purse.  A place where, if I'm trying to help you get into your house, which you locked yourself out of, and I break a lamp when you hoist me in, I'm nice enough to help you clean it up and maybe we split the cost of the lamp, 'cause I'm a mensch.","1883392",1
"Dream, dream , dream, dream , dream , dream. 
{redacted}, I would have loved to live in the world you described.   Yet news report had noted that passerby often ignored someone who collapses on the street in the real world and a serial killer (an Iraq war vet) recently caught for murdering the homeless.","1883399",1
"I know.  It's probably hopeless.  But I can dream.


The best dream is the one where I buy and island.  I build a hospital, cash only. Only the smartest, most hardworking, self starting, real thinking people can work there.  And if you've got TSL Syndrome (Too Stupid To Live Syndrome), I make you swim back to the mainland!","1883407",1
"{redacted}





""You can say I am dreamer, but I am not the only one..""





Oh wait, I think someone shot that guy.","1883425",1
"We are too busy making sure school clinics can give out birth control pills and condoms to deal with something as trivial as epi-pens.

Cut some of the bloated school administrator salaries, maybe hire one less assistant principal, and put nurses back in the schools.","1883437",1
"OK, everybody, the good news is that THE FEDERAL LEGISLATURE WILL PROBABLY PASS A LAW THIS YEAR, that I am sure will not be vetoed by the president THAT WILL ALLOW ANY SCHOOL IN THE COUNTRY TO KEEP UNDEDICATED EPIPENS IN THEIR SCHOOL BUILDINGS, AND ANY SCHOOL EMPLOYEE who knows how to use EpiPen CAN GIVE THE INJECTION TO A STUDENT REGARDLESS OF WHETHER OR NOT STUDENT HAS A PRESCRIPTION FOR IT.   





So, that means that it does not matter if there is a dedicated EpiPen for that student or not. The school can give EpiPen from the ""Undedicated"" supply.





Two states east of the Mississippi have already passed this law-- Ga and Illinois, and there are a few Western states with this law.  When the feds passed this, then all states will have this law. 





Had Virginia had such a law that Ga. and Illinois passed in 2011, and had the school officials taken advantage of that law (if it had been passed), then the girl most likely would be alive today.","1883459",1
"cracker, that'd be ideal. Hope there is a good Sumaritan law to go with it.","1884284",1
"Isn't it ludicrous that our Nanny State - the FEDERAL GUBMINT - needs to get involved in an issue such as this?","1884421",1
"No, it's not ludicrous. How would you like it if your son or grandson died of peanut allergy at school b/c it was his first allergic reaction and so of course he did not have a prescription for an EpiPen? Don't you think it would be pretty stupid and foolish for a the lifesaving medication to be sitting right there in the school nurse's station while your son or grandson is dying of an allergic reaction five feet away from the medicine that could save his life? 





In the situation of the girl who died at the Virginia school two weeks ago,  the moral and ethical thing to do, which last time I checked was one of the reasons people went to nursing or med school (ethics, helping your fellow man, etc) , would have been for the school nurse to have picked up ANOTHER STUDENT'S EpiPen and injected into the girl who was dying before her eyes of anaphylaxis.  What are the chances that two kids would anaphylaxis on the same day!? Give me a break! What are the chances that the nurse would have been sued had the girl's anaphylaxis reversed and had she lived? None. 





 No one can will get sued for giving an EpiPen injection. Yes, the Good Samaritan law will apply.  I was responsible for the EpiPen law getting passed in my state, so I know all about this issue. No one has ever gotten sued in the history of this country for injecting a kid with an EpiPen. The lawsuits have all been over school employees NOT giving an EpiPen injection when a kid is dying.  Nobody sues for positive outcome, folk. People sue over bad outcomes, especially death.","1884502",1
"Despite your history of being instrumental in getting a law passed in your state...

Saying noone will get sued for using an EpiPen is silly.","1884511",1
"I","1884526",1
"cracker...a likely reason why noone did grab the epi-pen and inject the girl is bacause they percieve that they will then be at risk to be sued.  They perceive that if they stay within the goverment rules they will be protected from suit.





I know its crazy. I am of the mind that we need less govt rules and more critical thinking/problem solving and some good old common sense! No one should have ever won millions of dollars from a restaurant because THEY(the customer) put their HOT COFFEE in their Crotch and got scalded, claiming they didn't know it was hot!  A jury of our peers should tell the customer they are out of their mind, next time don't be so stupid.","1884729",1
"That is the point, it should be a local/state thing.  Not the Feds.","1884749",1
"I hate breaking the rules (Catholic schools).  But I hate stupid rules (good Catholic schools). So Iikely would have broken the rules, grabbed the pen and fixed the issue.  Then I would wake up nights fretting that a lawyer was composing the Letter of Intent.","1884755",1
"Sabrina's Law


The best-known law concerning the use of an EpiPen is Sabrina's Law, named after a young girl who died from anaphylaxis after eating french fries that had come in contact with food containing dairy. This Canadian law, enacted in 2006, protects students with life-threatening allergies through policies that ensure in-school safety. School officials must be aware of a student's allergy, and training is required of all teachers and other school personnel in the use of an EpiPen and other emergency procedures.





Schools in the United States


The school environment can be a dangerous place for someone who suffers from severe allergies. Like Sabrina, a child with a severe food allergy does not necessarily have to consume the allergen to experience a reaction. If a child's food has come in contact with the allergen, or another child is eating that food and then touches the skin of the child with the allergy, an allergic reaction may be triggered. Therefore, it is particularly important for a child to have access to her EpiPen at school. All but five of the 50 states have laws allowing students to carry and self-administer an EpiPen at school. Only New York, Rhode Island, Pennsylvania, Wisconsin and Michigan do not have such laws in place.





Details concerning how the EpiPen should be carried in school and who can administer it varies from state to state. In some states, all school personnel, including bus drivers, are trained in how to use an EpiPen.","1884789",1
